ID,title,season,episode,writers
1,Breaking Bad,5,14,Vince Gilligan|Moira Walley-Beckett
2,Attack On Titan,3,17,Hajime Isayama|Yasuko Kobayashi|Hiroshi Seko
3,Star Wars: The Clone Wars,7,12,George Lucas|Dave Filoni
4,Chernobyl,1,5,Craig Mazin
5,Mr. Robot,4,7,Sam Esmail|Robbie Pickering|Amelia Gray
6,Game Of Thrones,6,10,George R.R. Martin|David Benioff|D.B. Weiss
7,Person Of Interest,4,11,Jonathan Nolan|Denise Thé|Dan Dietz
8,Hunter X Hunter,1,126,Yoshihiro Togashi
9,Boruto: Naruto Next Generations,1,218,N/A
10,Code Geass,2,25,Ichirô Ôkouchi|Gorô Taniguchi|Clamp
